epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.506,1.73039,3.54952,1.83055,0.0154,0.68867,0.05133,0.02028,1.63118,3.96313,1.61907,0.000296413,0.000296413,0.000296413
2,679.209,1.64275,2.72116,1.77187,0.64436,0.05387,0.08077,0.03398,1.82911,3.25153,1.81049,0.000579632,0.000579632,0.000579632
3,1009.89,1.59308,2.45126,1.73093,0.5556,0.23624,0.13459,0.04717,1.82884,2.74356,1.84854,0.000842854,0.000842854,0.000842854
4,1341.96,1.65221,2.31503,1.75038,0.71631,0.11332,0.12222,0.05857,1.76791,2.6081,1.76738,0.000819009,0.000819009,0.000819009
5,1669.48,1.52395,2.23359,1.71293,0.74186,0.11765,0.16046,0.07543,1.90527,2.59882,1.88672,0.000789012,0.000789012,0.000789012
6,1999.14,1.53971,2.1425,1.68204,0.5366,0.17819,0.13537,0.05707,1.86717,2.85338,1.90269,0.000759015,0.000759015,0.000759015
7,2327.89,1.52024,2.05474,1.67126,0.61941,0.15186,0.13177,0.05112,1.8345,2.89441,1.88085,0.000729018,0.000729018,0.000729018
8,2658.5,1.48752,2.01315,1.62773,0.52231,0.17162,0.1221,0.05005,1.85457,2.91247,1.84286,0.000699021,0.000699021,0.000699021
9,2991.1,1.49514,1.94361,1.639,0.63139,0.26215,0.20586,0.09406,1.75475,2.36947,1.76784,0.000669024,0.000669024,0.000669024
10,3319.61,1.42606,1.86321,1.58774,0.6071,0.19552,0.1523,0.0693,1.84296,2.63242,1.86263,0.000639027,0.000639027,0.000639027
11,3650.04,1.47072,1.88614,1.60534,0.59516,0.20997,0.14939,0.0719,1.80619,2.43578,1.805,0.00060903,0.00060903,0.00060903
12,3985.25,1.39348,1.78728,1.57908,0.64171,0.19289,0.18185,0.07139,1.82117,2.66332,1.85763,0.000579033,0.000579033,0.000579033
13,4315.13,1.36381,1.76057,1.54876,0.61602,0.21953,0.19944,0.08891,1.77264,2.29097,1.80505,0.000549036,0.000549036,0.000549036
14,4645.61,1.3046,1.67558,1.49937,0.68447,0.22908,0.22751,0.09974,1.80285,2.33224,1.81863,0.000519039,0.000519039,0.000519039
15,4975.97,1.33248,1.61538,1.4955,0.62492,0.31287,0.24082,0.10779,1.89048,2.24249,1.87898,0.000489042,0.000489042,0.000489042
16,5305.35,1.37863,1.55908,1.52205,0.64568,0.21355,0.22023,0.10299,1.7498,2.38605,1.80157,0.000459045,0.000459045,0.000459045
17,5635.32,1.30154,1.5798,1.48287,0.6294,0.2483,0.23964,0.11082,1.68817,2.32973,1.75325,0.000429048,0.000429048,0.000429048
18,5965.81,1.26149,1.50976,1.45241,0.69564,0.25087,0.25958,0.10501,1.7785,2.26734,1.78306,0.000399051,0.000399051,0.000399051
19,6295,1.22741,1.45496,1.42199,0.76287,0.20601,0.24797,0.09576,1.80471,2.33919,1.85864,0.000369054,0.000369054,0.000369054
20,6627.42,1.26572,1.49133,1.45959,0.64272,0.30079,0.21881,0.0876,1.80988,2.37086,1.86411,0.000339057,0.000339057,0.000339057
21,6957,1.18825,1.43433,1.43623,0.69851,0.27268,0.26891,0.12978,1.79481,2.27529,1.79874,0.00030906,0.00030906,0.00030906
22,7285.33,1.12667,1.34083,1.39976,0.75476,0.2968,0.30609,0.15933,1.77821,2.11477,1.78265,0.000279063,0.000279063,0.000279063
23,7613.22,1.1292,1.32689,1.38698,0.78251,0.23901,0.28194,0.14308,1.72798,2.24223,1.7745,0.000249066,0.000249066,0.000249066
24,7940.23,1.11528,1.25125,1.36898,0.80518,0.24163,0.2983,0.14139,1.76487,2.26022,1.82526,0.000219069,0.000219069,0.000219069
25,8265.58,1.06572,1.20029,1.34097,0.79704,0.19786,0.24742,0.11267,1.76126,2.3936,1.83556,0.000189072,0.000189072,0.000189072
26,8593.25,1.05787,1.17789,1.32508,0.76701,0.24609,0.26803,0.12587,1.71629,2.26328,1.78139,0.000159075,0.000159075,0.000159075
27,8919.29,1.03323,1.15895,1.30459,0.72649,0.20306,0.24784,0.12336,1.75315,2.32299,1.81172,0.000129078,0.000129078,0.000129078
28,9246.91,1.03729,1.1359,1.31243,0.68484,0.25141,0.26002,0.12583,1.785,2.24941,1.85204,9.9081e-05,9.9081e-05,9.9081e-05
29,9575.52,1.01836,1.11672,1.31789,0.69102,0.24401,0.25888,0.13111,1.77341,2.18009,1.81879,6.9084e-05,6.9084e-05,6.9084e-05
30,9904.29,1.0161,1.12326,1.30562,0.74169,0.25548,0.3024,0.13252,1.75934,2.20298,1.80755,3.9087e-05,3.9087e-05,3.9087e-05
